text,label,source,length,word_count,url_count,has_shortened_url,digit_ratio,uppercase_ratio,has_currency,has_phone_number,exclamation_count,has_opt_out,has_call_to_action,has_discount_pattern,spam_keyword_count,has_sender_code
Dijital faturaya geçerek siz de doğayı koruyabilirsiniz. Detaylı bilgi <PERSON>: https://iski.istanbul B003,ham,personal,107.0,12.0,1.0,0.0,0.028037383177570093,0.08411214953271028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
<PHONE> nolu hattiniza ait 407 TL lik faturanizin son odeme tarihinin 21.11.2024 oldugunu hatirlatiriz. Turkcell faturanizin odemesinde Turkcell Uygulamasi https://dijital.li/tzByQ ve turkcell.com.tr yi oncelikli olarak tercih edebileceginizi hatirlatmak isteriz. B002,ham,personal,268.0,30.0,1.0,1.0,0.05223880597014925,0.048507462686567165,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Yoldayız, geliyoruz! 4455117253349 takip no'lu kargonuzu teslim etmek üzere 2 saat içerisinde adresinizde olacağız.Adresinizde olduğunuzu teyit etmek veya teslimat tercihinizi değiştirmek <PERSON> linke tıklayınız:https://aras.la/L0PFCQ , 7561 kodu ile temassız teslim alabilirsiniz. B016",ham,personal,288.0,32.0,1.0,0.0,0.0763888888888889,0.04861111111111111,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0
24/11/2024 10:17 tarihinde +902162852000 tarafından size sesli mesaj bırakıldı. Mesajınızı 7530 u arayıp dinleyebilirsiniz. Dinlenmeyen mesajlar saklama süresi sonunda silinir. B002,ham,personal,181.0,21.0,0.0,0.0,0.1712707182320442,0.016574585635359115,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
"Faturalarinizi Turkcell uygulamasindan odeyin, zamaniniz size kalsin. Ustelik, otomatik odeme talimati verenlere aylik 5 GB hediye! Hemen Turkcell uygulamasini indirin, faturalarinizla ilgili tum detaylara ulasin. http://turkcell.li/1AeCp Turkcell Iletisim Hizmetleri A.S. tarafindan tanitim amacli size ulasilmasini istemiyorsaniz: IZINIPTAL yazip 2780 e ucretsiz SMS gondererek izninizi iptal edebilirsiniz. B002",ham,personal,414.0,47.0,1.0,1.0,0.021739130434782608,0.06521739130434782,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
"TIKTAK24 koduyla Mobil'den Garanti BBVA'lı ol, dakikalık veya günlük TikTak kiralamalarında geçerli 800 TL TikTak Puan kazan! Detaylar duyurularda. SMS almak istemiyorsan TIKTAKRET yazıp 4609'a yolla. Mersis No: 0844102361600001 B050",spam,personal,233.0,30.0,0.0,0.0,0.12017167381974249,0.15021459227467812,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
<PHONE> numarali hattiniza ait faturanizin son odeme gunu bugun olup henuz odeme yapilmamistir. Turkcell faturanizin odemesinde Turkcell Uygulamasi https://dijital.li/tzByQ ve turkcell.com.tr yi oncelikli olarak tercih edebileceginizi hatirlatmak isteriz. B002,ham,personal,260.0,29.0,1.0,1.0,0.011538461538461539,0.04230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Merhaba <PERSON>, TH461720 numarali servis kaydiniz olusturulmustur. Servis surecinizin takibi icin:https://www.teknosa.com/hesabim/servisteki-urunlerim Mersis:0836014439300012 B001",ham,personal,181.0,13.0,1.0,0.0,0.13812154696132597,0.06629834254143646,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
21/11/2024 11:51 tarihinde <PHONE> tarafından size sesli mesaj bırakıldı. Mesajınızı 7530 u arayıp dinleyebilirsiniz. Dinlenmeyen mesajlar saklama süresi sonunda silinir. B002,ham,personal,175.0,21.0,0.0,0.0,0.10857142857142857,0.045714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Online & sertifikalı & ödüllü Think Tech'e ücretsiz kayıt ol, kariyerine yön ver! https://shorturl.at/itU5o CODERSPACE SMS Red: https://onay.li/DX47 B021",spam,personal,153.0,19.0,2.0,1.0,0.0392156862745098,0.13725490196078433,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
