text,label,source,length,word_count,url_count,has_shortened_url,digit_ratio,uppercase_ratio,has_currency,has_phone_number,exclamation_count,has_opt_out,has_call_to_action,has_discount_pattern,spam_keyword_count,has_sender_code,original_label
Dijital faturaya geçerek siz de doğayı koruyabilirsiniz. Detaylı bilgi <PERSON>: https://iski.istanbul B003,ham,personal,107.0,12.0,1.0,0.0,0.02803738317757,0.0841121495327102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
<PHONE> nolu hattiniza ait 407 TL lik faturanizin son odeme tarihinin 21.11.2024 oldugunu hatirlatiriz. Turkcell faturanizin odemesinde Turkcell Uygulamasi https://dijital.li/tzByQ ve turkcell.com.tr yi oncelikli olarak tercih edebileceginizi hatirlatmak isteriz. B002,ham,personal,268.0,30.0,1.0,1.0,0.0522388059701492,0.0485074626865671,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
"Yoldayız, geliyoruz! 4455117253349 takip no'lu kargonuzu teslim etmek üzere 2 saat içerisinde adresinizde olacağız.Adresinizde olduğunuzu teyit etmek veya teslimat tercihinizi değiştirmek <PERSON> linke tıklayınız:https://aras.la/L0PFCQ , 7561 kodu ile temassız teslim alabilirsiniz. B016",ham,personal,288.0,32.0,1.0,0.0,0.0763888888888889,0.0486111111111111,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,ham
24/11/2024 10:17 tarihinde +902162852000 tarafından size sesli mesaj bırakıldı. Mesajınızı 7530 u arayıp dinleyebilirsiniz. Dinlenmeyen mesajlar saklama süresi sonunda silinir. B002,ham,personal,181.0,21.0,0.0,0.0,0.1712707182320442,0.0165745856353591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
"Faturalarinizi Turkcell uygulamasindan odeyin, zamaniniz size kalsin. Ustelik, otomatik odeme talimati verenlere aylik 5 GB hediye! Hemen Turkcell uygulamasini indirin, faturalarinizla ilgili tum detaylara ulasin. http://turkcell.li/1AeCp Turkcell Iletisim Hizmetleri A.S. tarafindan tanitim amacli size ulasilmasini istemiyorsaniz: IZINIPTAL yazip 2780 e ucretsiz SMS gondererek izninizi iptal edebilirsiniz. B002",ham,personal,414.0,47.0,1.0,1.0,0.0217391304347826,0.0652173913043478,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,ham
"TIKTAK24 koduyla Mobil'den Garanti BBVA'lı ol, dakikalık veya günlük TikTak kiralamalarında geçerli 800 TL TikTak Puan kazan! Detaylar duyurularda. SMS almak istemiyorsan TIKTAKRET yazıp 4609'a yolla. Mersis No: 0844102361600001 B050",spam,personal,233.0,30.0,0.0,0.0,0.1201716738197424,0.1502145922746781,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,spam
<PHONE> numarali hattiniza ait faturanizin son odeme gunu bugun olup henuz odeme yapilmamistir. Turkcell faturanizin odemesinde Turkcell Uygulamasi https://dijital.li/tzByQ ve turkcell.com.tr yi oncelikli olarak tercih edebileceginizi hatirlatmak isteriz. B002,ham,personal,260.0,29.0,1.0,1.0,0.0115384615384615,0.0423076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
"Merhaba <PERSON>, TH461720 numarali servis kaydiniz olusturulmustur. Servis surecinizin takibi icin:https://www.teknosa.com/hesabim/servisteki-urunlerim Mersis:0836014439300012 B001",ham,personal,181.0,13.0,1.0,0.0,0.1381215469613259,0.0662983425414364,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
21/11/2024 11:51 tarihinde <PHONE> tarafından size sesli mesaj bırakıldı. Mesajınızı 7530 u arayıp dinleyebilirsiniz. Dinlenmeyen mesajlar saklama süresi sonunda silinir. B002,ham,personal,175.0,21.0,0.0,0.0,0.1085714285714285,0.0457142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
"Online & sertifikalı & ödüllü Think Tech'e ücretsiz kayıt ol, kariyerine yön ver! https://shorturl.at/itU5o CODERSPACE SMS Red: https://onay.li/DX47 B021",spam,personal,153.0,19.0,2.0,1.0,0.0392156862745098,0.1372549019607843,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,spam
"Kadin <PERSON> Destek (KADES) uygulamasi araciligiyla, kadinlara yonelik risk ve tehdit unsuru olustugunda tek dokunusla en hizli sekilde olay yerine en yakin ekip ve devriyenin sevk edilmesi saglanmaktadir. Uygulamayi indirmek icin tiklayiniz: GOOGLE PLAY ICIN; https://t.co/2yAwTTTrEF APP STORE ICIN; https://t.co/uU5Z6TcEn3 SIDDETIN KARSISINDA, KADINLARIN YANINDAYIZ. B002",ham,personal,375.0,45.0,2.0,1.0,0.0186666666666666,0.2373333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ham
"Degerli musterimiz,<PHONE> nolu hattiniza ait son odeme tarihi gecmis 407,00 TL faturanizi 02.12.2024 tarihine kadar odemeniz durumunda kullanimlariniza devam edebileceginizi hatirlatmak isteriz. Odemenizi http://trcll.im/faturaode veya https://dijital.li/tzByQ uzerinden kolaylikla gerceklestirebilirsiniz. Odenmemis fatura nedeniyle kullanima kapatilan hatlara 139.27 TL hat kapama-acma ucreti yansir ve taahhutlu kampanyaniz varsa, bitis tarihi kisitlamadan dolayi degismez. Bir takvim yili icindeki ilk kapama-acma ucreti fatura edilmez. Hattiniz kapandiktan sonra odemenizi yapmaniz durumunda, odemenizin sistemlerimize yansimasindan en gec 24 saat icinde kullanimlariniza devam edebilirsiniz. Odeme yaptiysaniz bu mesaji dikkate almayiniz. B002",ham,personal,750.0,83.0,2.0,1.0,0.0306666666666666,0.024,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ham
"Sayın <PERSON>, Amazon Türkiye'den aldığınız BB3860611 no'lu gönderiniz, <PERSON>(Kendisi) adlı kişiye teslim edilmiştir. Linke tıklayarak Hizmet Değerlendirme Anketine katılabilirsiniz:https://klyglsn.com/vnM5WwMSgZ7NNncVx79pY B016",ham,personal,232.0,20.0,1.0,0.0,0.0603448275862069,0.1379310344827586,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ham
"Sayın <PERSON>, Amazon Türkiye'den aldığınız BB3857992 no'lu gönderinizin teslimatını yapmak üzere 2 saat içinde adresinize geliyoruz. Adresinizde olduğunuzu teyit etmek ya da teslimat detaylarını değiştirmek <PERSON> linke tıklayınız: https://klyglsn.com/RHsG05jXVHwgdeaj0ogEK Teslimat öncesi 0216 285 20 00 numarasından aranabilirsiniz. Görüşmelerimiz hizmet kalitesi gereği kaydedilecektir. Detaylı bilgi: https://kolaygelsin.com/kvkk B016",ham,personal,442.0,46.0,2.0,0.0,0.0565610859728506,0.0678733031674208,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ham
"Sayın <PERSON>, BB3860611 no'lu gönderiniz <PERSON>(Kendisi) adlı kişiye teslim edilmiştir. Linke tıklayarak Hizmet Değerlendirme Anketine katılabilirsiniz:https://klyglsn.com/vnM5WwMSgZ7NNncVx79pY B016",ham,personal,202.0,17.0,1.0,0.0,0.0693069306930693,0.1485148514851485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ham
bi yemek arti bira atip gelicem,ham,personal,31.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ham
"SIM kart degisikligi nedeniyle sifreniz iletilemedi. Garanti BBVA Mobil giris sayfasindaki Bize Ulasin menusunden, ATM/subelerimizden veya uygulamayla eslestirilmis cihaz ve aktif kart sifrenizle 444 0 333'ten SIM kart degisiklik bildiriminizi yapabilirsiniz. B002",ham,personal,264.0,32.0,0.0,0.0,0.0378787878787878,0.0681818181818181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
